"Nome Completo";"Nome para Urna Eletronica";"Numero do Candidato";"Situacao";"Sigla do Partido";"Numero do Partido";"Nome da Coligacao";"Composicao da Coligacao";"Cargo";"Sexo";"Data de Nascimento";"Estado Civil";"Ocupacao";"Grau de Instrucao";"Nacionalidade";"Municipio/UF de Nascimento";"Julgamento da Prest. de Contas";"Resultado da Eleicao";"Numero Protocolo";"Numero Processo";"CNPJ de Campanha"
"EDER DIAS DE OLIVEIRA";"EDER DIAS";28100;"APTO (Deferido)";"PRTB";28;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1983-07-27";"Casado(a)";"Outros";"Ensino Médio completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";415122010;"4320-78.2010.6.13.0000";"12.169.647/0001-20"
"EDEZIO PONCIANO GOMES";"DEZINHO";44005;"APTO (Deferido)";"PRP";44;"Projeto Vitoria 2010";"PRP / PT do B";"Deputado Estadual";"Masculino";"1971-12-01";"Casado(a)";"Vigilante";"Ensino Médio completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";416282010;"4422-03.2010.6.13.0000";"12.242.502/0001-08"
"EDGAR SOUZA DE OLIVEIRA";"DR. EDGAR DE SOUZA";28030;"APTO (Deferido)";"PRTB";28;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1938-01-30";"Solteiro(a)";"Advogado";"Superior completo";"Brasileira nata";"TEÓFILO OTONI / MG";;"Suplente";415132010;"4321-63.2010.6.13.0000";"12.173.098/0001-68"
"EDIDACIO MEDEIROS DE MARTINS";"MEDEIROS";65070;"APTO (Deferido)";"PC do B";65;0;0;"Deputado Estadual";"Masculino";"1954-12-26";"Casado(a)";"Técnico de Mecânica";"Ensino Fundamental incompleto";"Brasileira nata";"ANGICAL / MG";;"Suplente";428392010;"5178-12.2010.6.13.0000";"12.190.057/0001-80"
"EDIMAR PEREIRA DOS SANTOS";"EDIMAR MOTORISTA - PANCHO";23654;"APTO (Deferido)";"PPS";23;0;0;"Deputado Estadual";"Masculino";"1963-08-20";"Casado(a)";"Motorista de Veículos de Transporte Coletivo de Passageiros";"Ensino Médio completo";"Brasileira nata";"RUBIM / MG";;"Suplente";419652010;"4772-88.2010.6.13.0000";"12.181.703/0001-42"
"EDINICIO CAMPOS DA ROCHA";"PARRUDO 2010 MINAS AVANÇA";28333;"APTO (Deferido)";"PRTB";28;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1965-03-02";"Solteiro(a)";"Outros";"Ensino Fundamental completo";"Brasileira nata";"SANTA MARGARIDA / MG";;"Suplente";415142010;"4322-48.2010.6.13.0000";"12.180.391/0001-52"
"EDISON LUIZ SILVA JUNIOR";"EDISON LUIZ BIGODE";70181;"APTO (Deferido)";"PT do B";70;"Projeto Vitoria 2010";"PRP / PT do B";"Deputado Estadual";"Masculino";"1973-01-24";"Casado(a)";"Policial Militar";"Ensino Médio completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";416292010;"4426-40.2010.6.13.0000";"12.181.447/0001-93"
"EDIVAM TEODORO";"EDIVAM TEODORO";36909;"APTO (Deferido)";"PTC";36;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1965-07-02";"Solteiro(a)";"Outros";"Ensino Médio completo";"Brasileira nata";"ITABIRINHA / MG";;"Suplente";415152010;"4323-33.2010.6.13.0000";"12.178.074/0001-00"
"EDMAR LOURDES DE OLIVEIRA CARVALHO";"EDMAR LOURDES";23897;"APTO (Deferido)";"PPS";23;0;0;"Deputado Estadual";"Feminino";"1945-09-08";"Casado(a)";"Aposentado (Exceto Servidor Público)";"Ensino Médio completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";419662010;"4774-58.2010.6.13.0000";"12.294.319/0001-56"
"EDNÉIA SOUSA LIMA";"EDNEIA LIMA";14555;"APTO (Deferido)";"PTB";14;"JUSTIÇA SOCIAL E TRABALHO";"PTB / PSB";"Deputado Estadual";"Feminino";"1975-09-21";"Solteiro(a)";"Auxiliar de Escritório e Assemelhados";"Ensino Fundamental incompleto";"Brasileira nata";"ALMENARA / MG";;"Suplente";418402010;"4646-38.2010.6.13.0000";"12.181.869/0001-69"
"EDSON GONÇALVES SOARES";"EDSON SOARES";28456;"APTO (Deferido)";"PRTB";28;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1945-11-19";"Separado(a) judicialmente";"Engenheiro";"Superior completo";"Brasileira nata";"ARAÇUAI / MG";;"Suplente";415162010;"4324-18.2010.6.13.0000";"12.171.572/0001-12"
"EDSON GUSMAO DOS SANTOS";"EDSON GUSMAO";14141;"APTO (Deferido)";"PTB";14;"JUSTIÇA SOCIAL E TRABALHO";"PTB / PSB";"Deputado Estadual";"Masculino";"1949-04-24";"Casado(a)";"Outros";"Ensino Médio completo";"Brasileira nata";"FRANCISCO SA / MG";;"Suplente";418412010;"4647-23.2010.6.13.0000";"12.171.701/0001-72"
"EDSON LEMUCHI";"EDSON LEMUCHI";65222;"INAPTO (Indeferido)";"PC do B";65;0;0;"Deputado Estadual";"Masculino";"1966-09-25";"Casado(a)";"Outros";"Ensino Médio incompleto";"Brasileira nata";"ANTONIO CARLOS / MG";;;428402010;"5179-94.2010.6.13.0000";"12.190.964/0001-29"
"EDSON NONATO VIEIRA";"EDSON TAXISTA";28013;"INAPTO (Indeferido)";"PRTB";28;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1963-01-18";"Casado(a)";"Taxista";"Ensino Médio incompleto";"Brasileira nata";"BELO HORIZONTE / MG";;;415172010;"4325-03.2010.6.13.0000";"12.175.651/0001-00"
"EDSON REZENDE MORAIS";"EDSON REZENDE";13650;"APTO (Deferido)";"PT";13;"MUDA MINAS";"PRB / PT";"Deputado Estadual";"Masculino";"1951-06-03";"Casado(a)";"Médico";"Superior completo";"Brasileira nata";"ALTO DO RIO DOCE / MG";;"Suplente";420432010;"4814-40.2010.6.13.0000";"12.171.855/0001-64"
"EDSON RIBEIRO DE SOUZA";"EDINHO RIBEIRO";70999;"APTO (Deferido)";"PT do B";70;"Projeto Vitoria 2010";"PRP / PT do B";"Deputado Estadual";"Masculino";"1969-03-04";"Casado(a)";"Vereador";"Ensino Fundamental completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";416302010;"4429-92.2010.6.13.0000";"12.180.710/0001-20"
"EDUARDO ANTONIO DO NASCIMENTO FILHO";"EDUARDO FILHO";70767;"APTO (Deferido)";"PT do B";70;"Projeto Vitoria 2010";"PRP / PT do B";"Deputado Estadual";"Masculino";"1979-07-21";"Solteiro(a)";"Outros";"Ensino Médio completo";"Brasileira nata";"BH / MG";;"Suplente";416312010;"4431-62.2010.6.13.0000";"12.169.107/0001-47"
"EDUARDO AUGUSTO PEREIRA";"EDUARDO AUGUSTO";36300;"APTO (Deferido)";"PTC";36;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1973-03-27";"Casado(a)";"Eletricista e Assemelhados";"Superior completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";415182010;"4326-85.2010.6.13.0000";"12.180.610/0001-01"
"EDUARDO CORDEIRO MATOSINHOS";"EDUARDO MATOSINHOS";22500;"APTO (Deferido)";"PR";22;0;0;"Deputado Estadual";"Masculino";"1968-02-01";"Casado(a)";"Vereador";"Superior completo";"Brasileira nata";"CONGONHAS / MG";;"Suplente";411722010;"3996-88.2010.6.13.0000";"12.199.762/0001-48"
"EDUARDO CORREA VIANA";"EDUARDO C. VIANA";11121;"APTO (Deferido)";"PP";11;"PSDB/DEM/PP";"PP / DEM / PSDB";"Deputado Estadual";"Masculino";"1946-12-11";"Casado(a)";"Outros";"Superior completo";"Brasileira nata";"BARBACENA / MG";;"Suplente";417152010;"4491-35.2010.6.13.0000";"12.171.636/0001-85"
"EDUARDO DOS SANTOS PORCINO";"EDUARDO D'OXOSSI";43543;"APTO (Indeferido com recurso)";"PV";43;0;0;"Deputado Estadual";"Masculino";"1974-01-08";"Casado(a)";"Outros";"Ensino Médio completo";"Brasileira nata";"JUIZ DE FORA / MG";;"Indeferido com Recurso";410472010;"3941-40.2010.6.13.0000";"12.181.726/0001-57"
"EDUARDO JANOT PACHECO LOPES";"DR. EDUARDO JANOT";14123;"APTO (Deferido)";"PTB";14;"JUSTIÇA SOCIAL E TRABALHO";"PTB / PSB";"Deputado Estadual";"Masculino";"1970-10-02";"Casado(a)";"Médico";"Superior completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";418422010;"4648-08.2010.6.13.0000";"12.180.281/0001-90"
"EDUARDO KALIL";"EDUARDO KALIL";33013;"APTO (Deferido)";"PMN";33;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1970-03-31";"Casado(a)";"Outros";"Ensino Médio completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";406612010;"3784-67.2010.6.13.0000";"12.180.358/0001-22"
"EDUARDO PEREIRA";"CONDY";43259;"INAPTO (Renúncia)";"PV";43;0;0;"Deputado Estadual";"Masculino";"1959-03-01";"Solteiro(a)";"Desenhista";"Ensino Fundamental completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Renúncia/falecimento/cassação antes da eleição";410482010;"3942-25.2010.6.13.0000";"12.229.818/0001-60"
"EDUARDO REALINO DA SILVA";"DU DA CAIXA";65165;"APTO (Deferido)";"PC do B";65;0;0;"Deputado Estadual";"Masculino";"1967-01-10";"Separado(a) judicialmente";"Servidor Público Federal";"Superior completo";"Brasileira nata";"IBIRITE / MG";;"Suplente";428412010;"5180-79.2010.6.13.0000";"12.191.271/0001-50"
"EDUARDO RIBEIRO FERREIRA";"EDUARDO RIBEIRO";17369;"APTO (Deferido)";"PSL";17;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1958-07-20";"Casado(a)";"Outros";"Ensino Médio completo";"Brasileira nata";"SERRO / MG";;"Suplente";406622010;"3785-52.2010.6.13.0000";"12.174.251/0001-71"
"EDY ARAUJO JÚNIOR";"JUNINHO ARAUJO RÁDIO TROPICAL";14000;"APTO (Deferido)";"PTB";14;"JUSTIÇA SOCIAL E TRABALHO";"PTB / PSB";"Deputado Estadual";"Masculino";"1967-05-16";"Casado(a)";"Deputado";"Ensino Médio completo";"Brasileira nata";"DIONÍSIO / MG";;"Suplente";418432010;"4649-90.2010.6.13.0000";"12.179.293/0001-03"
"EGNALDO ANTONIO GAUDENCIO";"EGNALDO DO SANDUICHE";10040;"APTO (Deferido)";"PRB";10;"MUDA MINAS";"PRB / PT";"Deputado Estadual";"Masculino";"1969-10-14";"Solteiro(a)";"Vendedor Pracista, Representante, Caixeiro-Viajante e Assemelhados";"Ensino Médio completo";"Brasileira nata";"SÃO TIAGO / MG";;"Suplente";420442010;"4816-10.2010.6.13.0000";"12.180.251/0001-84"
"ELCIO SILVA DE OLIVEIRA";"ELCIO TOLOBA";40672;"APTO (Deferido)";"PSB";40;"JUSTIÇA SOCIAL E TRABALHO";"PTB / PSB";"Deputado Estadual";"Masculino";"1954-12-21";"Casado(a)";"Outros";"Ensino Médio completo";"Brasileira nata";"SAO JOAQUIM DE BICAS / MG";;"Suplente";418442010;"4650-75.2010.6.13.0000";"12.174.053/0001-08"
"ELCIONE SILVA ARRUDA";"ELCIONE";27323;"APTO (Deferido)";"PSDC";27;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1972-01-19";"Solteiro(a)";"Empresário";"Superior incompleto";"Brasileira nata";"IPATINGA / MG";;"Suplente";406632010;"3786-37.2010.6.13.0000";"12.167.251/0001-44"
"ELDICE DOS SANTOS";"ELDICE JAPÃO";28800;"APTO (Deferido)";"PRTB";28;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1952-08-24";"Casado(a)";"Aposentado (Exceto Servidor Público)";"Ensino Fundamental completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";415192010;"4327-70.2010.6.13.0000";"12.172.279/0001-70"
"ELI IZABEL RODRIGUES SANTANA";"BEL SANTANA";65004;"INAPTO (Renúncia)";"PC do B";65;0;0;"Deputado Estadual";"Feminino";"1962-11-01";"Divorciado(a)";"Servidor Público Estadual";"Superior completo";"Brasileira nata";"BRASILIA DE MINAS / MG";;"Renúncia/falecimento/cassação antes da eleição";428422010;"5181-64.2010.6.13.0000";"12.190.775/0001-56"
"ELIACIM DO CARMO LOURENÇO";"PROFESSOR ELIACIM";65765;"APTO (Deferido)";"PC do B";65;0;0;"Deputado Estadual";"Masculino";"1967-05-19";"Casado(a)";"Professor de Ensino Médio";"Superior completo";"Brasileira nata";"ALFENAS / MG";;"Suplente";428432010;"5182-49.2010.6.13.0000";"12.191.254/0001-13"
"ELIANA DE OLIVEIRA LEAL";"ELIANA LEAL";15150;"APTO (Deferido)";"PMDB";15;0;0;"Deputado Estadual";"Feminino";"1962-10-14";"Casado(a)";"Auxiliar de Escritório e Assemelhados";"Ensino Médio completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";423992010;"4976-35.2010.6.13.0000";"12.178.275/0001-07"
"ELIANE SILVA ALVES OLIVEIRA";"ELIANE FOTOGRAFA";27456;"APTO (Deferido)";"PSDC";27;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Feminino";"1972-02-03";"Casado(a)";"Fotógrafo e Assemelhados";"Ensino Médio completo";"Brasileira nata";"PONTE NOVA / MG";;"Suplente";406642010;"3787-22.2010.6.13.0000";"12.181.252/0001-43"
"ELIAS MARIANO DE MATOS";"ELIAS MATOS";15789;"APTO (Deferido)";"PMDB";15;0;0;"Deputado Estadual";"Masculino";"1976-04-29";"Casado(a)";"Vereador";"Superior completo";"Brasileira nata";"SÃO PAULO / SP";;"Suplente";533522010;"5852-87.2010.6.13.0000";"12.269.966/0001-08"
"ELIAS RODRIGUES DE JESUS";"VELOZ RODRIGUES";36150;"APTO (Deferido)";"PTC";36;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1958-08-28";"Solteiro(a)";"Comerciante";"Ensino Médio completo";"Brasileira nata";"NOVA LIMA / MG";;"Suplente";415202010;"4328-55.2010.6.13.0000";"12.176.705/0001-43"
"ELIAS ROSA DE LISBOA";"ELIAS ROSA DE LISBOA";15183;"APTO (Deferido)";"PMDB";15;0;0;"Deputado Estadual";"Masculino";"1945-02-05";"Divorciado(a)";"Aposentado (Exceto Servidor Público)";"Ensino Fundamental completo";"Brasileira nata";"JUNA / ES";;"Suplente";576562010;"6164-63.2010.6.13.0000";"12.318.950/0001-48"
"ELICA BATISTA DO CARMO";"ELICA BATISTA";23258;"APTO (Deferido)";"PPS";23;0;0;"Deputado Estadual";"Feminino";"1977-08-30";"Casado(a)";"Estudante, Bolsista, Estagiário e Assemelhados";"Superior incompleto";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";419672010;"4775-43.2010.6.13.0000";"12.168.816/0001-08"
"ELIECI FERNANDES DE SOUZA";"ELIECI FERNANDES";45890;"APTO (Indeferido com recurso)";"PSDB";45;"PSDB/DEM/PP";"PP / DEM / PSDB";"Deputado Estadual";"Feminino";"1972-01-13";"Casado(a)";"Administrador";"Ensino Médio incompleto";"Brasileira nata";"PORTEIRINHA / MG";;"Indeferido com Recurso";417162010;"4492-20.2010.6.13.0000";"12.168.680/0001-36"
"ELIEL PASSOS BARRETO";"ELIEL BARRETÃO DA CONST. CIVIL";36860;"APTO (Deferido)";"PTC";36;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1956-10-12";"Casado(a)";"Trabalhador de Construção Civil";"Ensino Médio incompleto";"Brasileira nata";"MUCURICI / ES";;"Suplente";415212010;"4329-40.2010.6.13.0000";"12.174.246/0001-69"
"ELIEZER BARBOSA SOARES";"SARGENTO ELIEZER";70080;"APTO (Deferido)";"PT do B";70;"Projeto Vitoria 2010";"PRP / PT do B";"Deputado Estadual";"Masculino";"1965-08-12";"Divorciado(a)";"Policial Militar";"Superior incompleto";"Brasileira nata";"RIO DE JANEIRO / RJ";;"Suplente";416322010;"4434-17.2010.6.13.0000";"12.180.906/0001-14"
"ELIS BALBINO SANT'ANA";"ELIS BALBINO";12133;"APTO (Deferido)";"PDT";12;0;0;"Deputado Estadual";"Masculino";"1946-11-25";"Solteiro(a)";"Corretor de Imóveis, Seguros, Títulos e Valores";"Ensino Fundamental completo";"Brasileira nata";"CONSELHEIRO PENA / MG";;"Suplente";429242010;"5252-66.2010.6.13.0000";"12.189.921/0001-23"
"ELISANGELA ALVES RIBEIRO";"ELISANGÊLA ALVES";12000;"APTO (Deferido)";"PDT";12;0;0;"Deputado Estadual";"Feminino";"1973-11-23";"Casado(a)";"Motorista de Veículos de Transporte de Carga";"Ensino Fundamental incompleto";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";429252010;"5253-51.2010.6.13.0000";"12.191.400/0001-00"
"ELISMAR FERNANDES PRADO";"ELISMAR PRADO";13913;"APTO (Deferido)";"PT";13;"MUDA MINAS";"PRB / PT";"Deputado Estadual";"Masculino";"1972-08-12";"Solteiro(a)";"Deputado";"Superior completo";"Brasileira nata";"UBERLÂNDIA / MG";;"Eleito";420462010;"4819-62.2010.6.13.0000";"12.168.569/0001-40"
"ELIZABETH DE OLIVEIRA SANTOS";"ELIZABETH DE OLIVEIRA";23698;"APTO (Deferido)";"PPS";23;0;0;"Deputado Estadual";"Feminino";"1950-03-21";"Casado(a)";"Outros";"Ensino Médio completo";"Brasileira nata";"TEÓFILO OTONI / MG";;"Suplente";419682010;"4777-13.2010.6.13.0000";"12.173.982/0001-00"
"ELIZABETH RODRIGUES DE SOUZA FERREIRA DA SILVA";"BETH";23547;"APTO (Deferido)";"PPS";23;0;0;"Deputado Estadual";"Feminino";"1954-11-19";"Casado(a)";"Auxiliar de Escritório e Assemelhados";"Ensino Médio completo";"Brasileira nata";"CARLOS CHAGAS / MG";;"Suplente";419692010;"4779-80.2010.6.13.0000";"12.168.681/0001-80"
"ELSON FERREIRA DA SILVA";"ELSON DA COPAFER";70031;"APTO (Deferido)";"PT do B";70;"Projeto Vitoria 2010";"PRP / PT do B";"Deputado Estadual";"Masculino";"1960-02-08";"Casado(a)";"Empresário";"Ensino Médio completo";"Brasileira nata";"SETE LAGOAS / MG";;"Suplente";416332010;"4437-69.2010.6.13.0000";"12.176.407/0001-53"
"ELSON FERREIRA DE SÁ";"ELSON SÁ";15831;"APTO (Deferido)";"PMDB";15;0;0;"Deputado Estadual";"Masculino";"1963-10-12";"Casado(a)";"Analista de Sistemas";"Superior completo";"Brasileira nata";"TIMOTEO / MG";;"Suplente";444032010;"5486-48.2010.6.13.0000";"12.204.639/0001-78"
"ELVIRO FERREIRA SAMPAIO";"ELVIRO SAMPAIO";70045;"APTO (Deferido)";"PT do B";70;"Projeto Vitoria 2010";"PRP / PT do B";"Deputado Estadual";"Masculino";"1945-07-01";"Casado(a)";"Porteiro de Edifício, Ascensorista, Garagista e Zelador";"Ensino Médio incompleto";"Brasileira nata";"POTE / MG";;"Suplente";443832010;"5508-09.2010.6.13.0000";"12.204.217/0001-00"
"ELZA LÚCIA RUSSO MIRANDA";"ELZA RUSSO";15559;"INAPTO (Renúncia)";"PMDB";15;0;0;"Deputado Estadual";"Feminino";"1959-01-07";"Casado(a)";"Professor de Ensino Médio";"Superior completo";"Brasileira nata";"ACAIACA / MG";;;424002010;"4978-05.2010.6.13.0000";"12.249.161/0001-00"
"ELZA POGIAN DIAS";"ELZA POGIAN";15021;"APTO (Deferido)";"PMDB";15;0;0;"Deputado Estadual";"Feminino";"1959-02-11";"Casado(a)";"Outros";"Ensino Médio completo";"Brasileira nata";"MIMOSO DO SUL / ES";;"Suplente";578342010;"6176-77.2010.6.13.0000";"12.318.990/0001-90"
"EMERSON ALEX SIQUEIRA DOS ANJOS RIBEIRO";"EMERSON ALEX";12510;"INAPTO (Indeferido)";"PDT";12;0;0;"Deputado Estadual";"Masculino";"1981-10-24";"Solteiro(a)";"Técnico de Enfermagem e Assemelhados (Exceto Enfermeiro)";"Ensino Médio completo";"Brasileira nata";"BELO HORIZONTE / MG";;;429262010;"5254-36.2010.6.13.0000";"12.189.591/0001-76"
"EMIDIO ALVES MADEIRA JUNIOR";"EMIDINHO MADEIRA";70200;"APTO (Deferido)";"PT do B";70;"Projeto Vitoria 2010";"PRP / PT do B";"Deputado Estadual";"Masculino";"1967-03-10";"Casado(a)";"Agricultor";"Ensino Fundamental incompleto";"Brasileira nata";"NOVA RESENDE / MG";;"Suplente";416342010;"4439-39.2010.6.13.0000";"12.178.797/0001-09"
"EMMERSON CLAUDE DA SILVA";"EMMERSON SILVA";33201;"APTO (Deferido)";"PMN";33;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1972-12-29";"Solteiro(a)";"Empresário";"Superior completo";"Brasileira nata";"CORINTO / MG";;"Suplente";406652010;"3788-07.2010.6.13.0000";"12.181.118/0001-42"
"ENAGNÓLIA DA COSTA AGUIAR";"NÁ DE MATEUS";12712;"APTO (Deferido)";"PDT";12;0;0;"Deputado Estadual";"Feminino";"1964-08-18";"Casado(a)";"Comerciário";"Ensino Médio completo";"Brasileira nata";"PALMÓPOLIS / MG";;"Suplente";429272010;"5255-21.2010.6.13.0000";"12.189.757/0001-54"
"ENEIAS ANTONIO MARTINS";"ENEIAS";50707;"APTO (Deferido)";"PSOL";50;0;0;"Deputado Estadual";"Masculino";"1967-01-23";"Solteiro(a)";"Auxiliar de Escritório e Assemelhados";"Ensino Médio completo";"Brasileira nata";"CENTRAL DE SANTA HELENA / MG";;"Não eleito";422412010;"3709-28.2010.6.13.0000";"12.178.656/0001-88"
"ENIVALDO FRANCISCO DAMIÃO";"NIVALDO DE TECO";36580;"APTO (Deferido)";"PTC";36;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1961-07-24";"Casado(a)";"Comerciante";"Ensino Médio completo";"Brasileira nata";"TAGUARASSU DE MINAS / MG";;"Suplente";415222010;"4330-25.2010.6.13.0000";"12.177.166/0001-67"
"EPITACIO JOSÉ AQUINO VINHAS";"TÁCIO D'VINIAS";11555;"INAPTO (Indeferido)";"PP";11;"PSDB/DEM/PP";"PP / DEM / PSDB";"Deputado Estadual";"Masculino";"1961-02-09";"Divorciado(a)";"Representante Comercial";"Ensino Médio completo";"Brasileira nata";"ALMENARA / MG";;;417172010;"4494-87.2010.6.13.0000";"12.173.674/0001-77"
"ERNANDES JOSE DA SILVA";"ERNANDES SILVA";65220;"APTO (Indeferido com recurso)";"PC do B";65;0;0;"Deputado Estadual";"Masculino";"1976-04-22";"Solteiro(a)";"Estudante, Bolsista, Estagiário e Assemelhados";"Ensino Médio completo";"Brasileira nata";"SALTO DA DIVISA / MG";;"Indeferido com Recurso";428442010;"5183-34.2010.6.13.0000";"12.189.392/0001-68"
"ERNANI DE PAULA BRAGA";"ERNANI BRAGA";17170;"APTO (Deferido)";"PSL";17;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1951-10-19";"Casado(a)";"Industrial";"Ensino Médio completo";"Brasileira nata";"POUSO ALEGRE / MG";;"Suplente";406662010;"3789-89.2010.6.13.0000";"12.172.327/0001-20"
"ESTERFFERSON LUIS AQUINO VINHAS";"ESTERFFERSON AQUINO";15460;"INAPTO (Indeferido)";"PMDB";15;0;0;"Deputado Estadual";"Masculino";"1971-01-09";"Casado(a)";"Outros";"Ensino Médio completo";"Brasileira nata";"BELO HORIZONTE / MG";;;424012010;"4979-87.2010.6.13.0000";"12.180.241/0001-49"
"EUDE CHAVES OTONI";"EUDE CHAVES";36676;"APTO (Deferido)";"PTC";36;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1986-06-21";"Solteiro(a)";"Trabalhador Dos Serviços de Contabilidade, de Caixa e Assemelhados";"Ensino Médio completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";415232010;"4331-10.2010.6.13.0000";"12.168.133/0001-50"
"EUGÊNIO RODRIGUES MUCUTA";"EUGENIO JANEQUIM";15341;"INAPTO (Indeferido)";"PMDB";15;0;0;"Deputado Estadual";"Masculino";"1962-06-04";"Solteiro(a)";"Garçom";"Ensino Fundamental completo";"Brasileira nata";"TARUMIRIM / MG";;;424022010;"4980-72.2010.6.13.0000";"12.177.310/0001-65"
"EUNICE BARBOSA DIAS OLIVEIRA";"EUNICE DIAS";40122;"INAPTO (Renúncia)";"PSB";40;"JUSTIÇA SOCIAL E TRABALHO";"PTB / PSB";"Deputado Estadual";"Feminino";"1969-06-27";"Casado(a)";"Outros";"Superior completo";"Brasileira nata";"PARACATU / MG";;"Renúncia/falecimento/cassação antes da eleição";587022010;"6264-18.2010.6.13.0000";"12.332.429/0001-65"
"EUSTÁQUIO DE LIMA ALVES";"DR. EUSTÁQUIO";45000;"INAPTO (Renúncia)";"PSDB";45;"PSDB/DEM/PP";"PP / DEM / PSDB";"Deputado Estadual";"Masculino";"1948-03-07";"Casado(a)";"Advogado";"Superior completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Renúncia/falecimento/cassação antes da eleição";417182010;"4496-57.2010.6.13.0000";"12.171.574/0001-01"
"EUSTAQUIO JANUARIO CORDEIRO DE AZEVEDO";"SUCUPIRA";19157;"INAPTO (Indeferido)";"PTN";19;"PHS/PTN";"PTN / PHS";"Deputado Estadual";"Masculino";"1946-09-19";"Casado(a)";"Comerciante";"Ensino Médio completo";"Brasileira nata";"BELO HORIZONTE / MG";;;423552010;"4941-75.2010.6.13.0000";"12.171.970/0001-39"
"EUSTAQUIO MARCONCINE BINI";"PROFESSOR EUSTAQUIO BINI";12800;"APTO (Deferido)";"PDT";12;0;0;"Deputado Estadual";"Masculino";"1944-11-22";"Separado(a) judicialmente";"Professor de Ensino Superior";"Superior completo";"Brasileira nata";"FORMIGA / MG";;"Suplente";429282010;"5256-06.2010.6.13.0000";"12.189.608/0001-95"
"EVERALDO FERNANDES DA SILVA";"EVERALDO IRMAOZASSO";70777;"INAPTO (Indeferido)";"PT do B";70;"Projeto Vitoria 2010";"PRP / PT do B";"Deputado Estadual";"Masculino";"1962-05-05";"Casado(a)";"Empresário";"Ensino Médio incompleto";"Brasileira nata";"BH / MG";;;416352010;"4441-09.2010.6.13.0000";"12.199.325/0001-24"
"FABIANO CAMPOS";"NINGUEM";33391;"APTO (Deferido)";"PMN";33;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1966-11-27";"Solteiro(a)";"Agente Administrativo";"Superior incompleto";"Brasileira nata";"CONSELHEIRO LAFAIETA / MG";;"Suplente";406672010;"3790-74.2010.6.13.0000";"12.180.153/0001-47"
"FABIANO COSTA SOARES";"DR FABIANO";50300;"APTO (Deferido)";"PSOL";50;0;0;"Deputado Estadual";"Masculino";"1973-01-05";"Divorciado(a)";"Médico";"Superior completo";"Brasileira nata";"MONTES CLAROS / MG";;"Não eleito";422422010;"3710-13.2010.6.13.0000";"12.180.827/0001-03"
"FABIANO GALLETTI TOLENTINO";"FABIANO TOLENTINO";28000;"APTO (Deferido)";"PRTB";28;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1974-02-25";"Casado(a)";"Vereador";"Superior completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Eleito";415242010;"4332-92.2010.6.13.0000";"12.167.464/0001-76"
